Datum	05.11.10	
Uhrzeit	12:48:26	
Probenkennz.	HDPE	
Probenhšhe a0	4	mm
Probenbreite b0	10,1	mm
LŠnge l0	70	mm
Probenhšhe aU NACH dem Versuch	1	mm
Probenbreite bU NACH dem Versuch	4,5	mm
LŠnge lU NACH dem Versuch	99,6	mm
Geschwindigkeit	20	mm/min
Kraftmaximum	1281,42	N
Standardweg	Standardkraft	
mm	N	
13,2201	1280,53	
13,2334	1280,63	
13,2467	1280,63	
13,26	1280,63	
13,2733	1280,63	
13,2867	1280,7	
13,3	1280,73	
13,3134	1280,76	
13,3267	1280,83	
13,34	1280,86	
13,3533	1280,83	
13,3666	1280,89	
13,38	1280,99	
13,3934	1280,96	
13,4067	1280,96	
13,42	1280,89	
13,4333	1280,89	
13,4466	1280,96	
13,46	1280,89	
13,48	1280,93	
13,4934	1280,99	
13,5067	1281,03	
13,52	1281,09	
13,5333	1281,06	
13,5466	1281,06	
13,56	1281,03	
13,5733	1281,06	
13,5867	1281,19	
13,6	1281,22	
13,6134	1281,22	
13,6267	1281,16	
13,64	1281,22	
13,6533	1281,22	
13,6667	1281,16	
13,68	1281,16	
13,6934	1281,19	
13,7067	1281,22	
13,72	1281,29	
13,7333	1281,32	
13,7467	1281,32	
13,76	1281,32	
13,7733	1281,29	
13,7867	1281,32	
13,8	1281,29	
13,8133	1281,26	
13,8267	1281,22	
13,84	1281,32	
13,8533	1281,26	
13,8734	1281,26	
13,8867	1281,26	
13,9001	1281,32	
13,9133	1281,36	
13,9266	1281,39	
13,94	1281,36	
13,9533	1281,39	
13,9667	1281,39	
13,9801	1281,42	
13,9933	1281,39	
14,0066	1281,32	
14,0199	1281,29	
14,0333	1281,32	
14,0467	1281,32	
14,06	1281,39	
14,0734	1281,36	
14,0867	1281,36	
14,1066	1281,32	
14,1199	1281,26	
14,1333	1281,29	
14,1467	1281,32	
14,16	1281,36	
14,1733	1281,32	
14,1867	1281,32	
14,2	1281,32	
14,2133	1281,22	
14,2267	1281,16	
14,24	1281,22	
14,2533	1281,26	
14,2667	1281,19	
14,28	1281,12	
