Probenkennz.	Baustahl	
Datum	02.08.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	4251,6396	N
Probenhoehe a0	1	mm
Probenbreite b0	12,96	mm
Laenge l0	70	mm
Probenhoehe a0 NACH ZUGVERSUCH	0,8	mm
Probenbreite b0 NACH ZUGVERSUCH	8,84	mm
Laenge l0 NACH ZUGVERSUCH	85,84	mm
Standardweg	Standardkraft	
mm	N	
4,931941	3985,62768	
4,941286	3986,6436	
4,951198	3987,73296	
4,959948	3988,73664	
4,969293	3989,78928	
4,978638	3990,79296	
4,987983	3991,8456	
4,9973	3993,0084	
5,00661	3994,09776	
5,015927	3995,35848	
5,025272	3996,60696	
5,034617	3997,69632	
5,044557	3998,66328	
5,053314	3999,50784	
5,062624	4000,40136	
5,071969	4001,28264	
5,081286	4002,372	
5,090596	4003,66944	
5,099976	4004,67312	
5,109321	4005,72576	
5,118673	4006,76616	
5,127983	4008,13704	
5,137328	4009,2264	
5,146645	4010,31576	
5,160645	4012,21296	
5,169962	4013,17992	
5,179307	4013,95104	
5,188652	4014,6732	
5,197969	4015,44432	
5,207314	4016,28888	
5,216624	4017,21912	
5,225969	4018,39416	
5,235286	4019,59368	
5,244666	4020,76872	
5,258638	4022,58024	
5,267948	4023,6696	
5,277293	4024,72224	
5,28661	4025,6892	
5,295955	4026,61944	
5,3053	4027,26816	
5,31468	4027,90464	
5,32399	4028,71248	
5,333307	4029,55704	
5,342589	4030,32816	
5,356589	4031,98056	
5,365969	4033,31472	
5,375314	4034,48976	
5,384659	4035,57912	
5,393976	4036,74192	
5,403286	4037,63544	
5,412568	4038,2352	
5,421948	4039,16544	
5,431888	4040,1324	
5,440638	4040,65872	
5,44999	4041,18504	
5,459265	4042,10304	
5,468645	4043,11896	
5,477927	4044,1716	
5,487272	4045,26096	
5,496617	4046,46048	
5,505969	4047,54984	
5,515314	4048,40664	
5,525219	4049,496	
5,533969	4050,30384	
5,543216	4051,06272	
5,552596	4051,67472	
5,561948	4052,51928	
5,571328	4053,168	
5,580638	4053,85344	
5,590018	4054,698	
5,5993	4055,70168	
5,609205	4056,87672	
5,617927	4058,0028	
5,627307	4058,96976	
5,636617	4059,9	
5,645997	4060,49976	
5,655342	4061,14848	
5,664624	4061,76048	
5,673934	4062,48264	
5,683251	4063,3272	
5,692631	4064,45328	
5,701976	4065,5916	
5,711321	4066,35048	
5,725328	4067,56224	
5,734638	4068,45576	
5,74392	4069,37376	
5,753265	4070,304	
5,76261	4071,07512	
5,771955	4071,84624	
5,781335	4072,40928	
5,790652	4072,92336	
5,799934	4073,69448	
5,809244	4074,66144	
5,823279	4076,118	
5,832624	4077,12168	
5,842004	4078,0152	
5,851321	4078,85976	
5,860666	4079,58192	
5,869948	4080,23064	
5,879258	4080,9528	
5,888638	4081,6872	
5,897955	4082,56848	
5,911955	4083,74352	
5,921335	4084,30656	
5,930645	4084,992	
5,939927	4085,95896	
5,949244	4087,0116	
5,958624	4087,69704	
5,967969	4088,5416	
5,977314	4089,38616	
5,987219	4090,15728	
5,995941	4090,6836	
6,005251	4091,40576	
6,014603	4092,05448	
6,023976	4092,69096	
6,033293	4093,3764	
6,042673	4094,26992	
6,051983	4095,20016	
6,0613	4096,08144	
6,07117	4097,1708	
6,079927	4098,01536	
6,089307	4098,8232	
6,098652	4099,4352	
6,107962	4099,91256	
6,117314	4100,52456	
6,126659	4101,00192	
6,135934	4101,65064	
6,145286	4102,26264	
6,154596	4102,94808	
6,163976	4103,79264	
6,177983	4105,32264	
6,187293	4106,21616	
6,196603	4107,01176	
6,205955	4107,99096	
6,215265	4108,74984	
6,224645	4109,23944	
6,233955	4109,68008	
6,243307	4110,084	
6,252652	4110,36552	
6,266624	4110,92856	
6,275934	4111,7364	
6,285279	4112,86248	
6,294659	4113,91512	
6,304004	4114,96776	
6,313286	4115,97144	
6,322631	4116,6936	
6,331983	4117,21992	
6,34186	4117,90536	
6,35061	4118,30928	
6,35992	4118,99472	
6,3693	4119,4476	
6,37861	4119,80256	
6,38799	4120,32888	
6,3973	4120,89192	
6,40661	4121,82216	
6,41599	4122,78912	
6,4253	4123,84176	
6,43468	4124,5272	
6,44868	4125,61656	
6,45799	4126,09392	
6,46723	4126,49784	
6,47654	4127,23224	
6,48592	4127,79528	
6,4953	4128,27264	
6,50468	4128,72552	
6,51399	4129,44768	
6,5233	4130,13312	
6,53261	4130,73288	
6,54661	4132,10376	
6,55599	4132,9116	
6,56537	4133,5236	
6,57461	4133,92752	
6,58392	4134,33144	
6,5933	4134,77208	
6,60261	4135,37184	
6,61192	4136,02056	
6,6213	4136,5836	
6,6353	4137,55056	
6,64468	4138,32168	
6,65399	4138,92144	
6,66323	4139,41104	
6,67261	4140,1332	
6,68199	4140,90432	
6,6913	4141,43064	
6,70061	4141,99368	
6,71055	4142,36088	
6,7193	4142,83824	
6,72861	4143,36456	
6,73799	4144,05	
6,7473	4144,89456	
6,75661	4145,62896	
6,76592	4146,10632	
6,7753	4146,66936	
6,78461	4147,15896	
6,79392	4147,75872	
6,8033	4148,32176	
6,81261	4149,09288	
6,82661	4149,90072	
6,83599	4150,34136	
6,84537	4150,95336	
6,85461	4151,67552	
6,86392	4152,36096	
6,8733	4152,96072	
6,88261	4153,73184	
6,89199	4154,17248	
6,90137	4154,454	
6,91061	4155,10272	
6,92461	4155,82488	
6,93392	4156,27776	
6,9433	4156,7184	
6,95261	4157,36712	
6,96199	4157,80776	
6,9713	4158,17496	
6,98061	4158,8604	
6,98999	4159,61928	
6,99986	4160,3904	
7,00868	4160,95344	
7,01799	4161,60216	
7,0273	4162,07952	
7,03661	4162,36104	
7,04599	4162,64256	
7,0553	4162,92408	
7,06461	4163,25456	
7,07399	4163,73192	
7,0833	4164,53976	
7,09261	4165,15176	
7,10199	4165,5924	
7,11599	4166,59608	
7,12523	4167,4896	
7,13461	4168,21176	
7,14399	4168,7748	
7,1533	4169,142	
7,16268	4169,42352	
7,17199	4169,70504	
7,1813	4169,86416	
7,19117	4170,10896	
7,19992	4170,63528	
7,2093	4171,23504	
7,21868	4172,00616	
7,22799	4172,77728	
7,2373	4173,46272	
7,24668	4174,0992	
7,25592	4174,55208	
7,26523	4174,956	
7,27461	4175,27424	
7,28455	4175,71488	
7,2933	4176,04536	
7,30268	4176,2412	
7,31199	4176,44928	
7,3213	4176,8532	
7,33061	4177,33056	
7,33992	4177,94256	
7,3493	4178,66472	
7,35868	4179,38688	
7,36799	4180,0356	
7,3773	4180,31712	
7,39123	4180,75776	
7,40061	4181,08824	
7,40992	4181,49216	
7,4193	4181,8104	
7,42868	4182,21432	
7,43799	4182,58152	
7,4473	4182,86304	
7,45661	4183,4628	
7,46592	4184,23392	
7,47999	4185,2376	
7,4893	4185,92304	
7,49868	4186,36368	
7,50799	4186,60848	
7,5173	4186,81656	
7,52661	4187,22048	
7,53592	4187,502	
7,5453	4187,69784	
7,55524	4188,06504	
7,56392	4188,50568	
7,5733	4188,87288	
7,58261	4189,35024	
7,59192	4189,87656	
7,6013	4190,64768	
7,61068	4191,12504	
7,61999	4191,45552	
7,62937	4191,77376	
7,63861	4192,01856	
7,64799	4192,01856	
7,6573	4192,30008	
7,6713	4193,05896	
7,68061	4193,54856	
7,68999	4194,03816	
7,6993	4194,44208	
7,70868	4194,67464	
7,71792	4195,07856	
7,72723	4195,72728	
7,73661	4196,2536	
7,74599	4196,73096	
7,7553	4197,13488	
7,7693	4197,37968	
7,77868	4197,4164	
7,78799	4197,6612	
7,79723	4198,3956	
7,80661	4199,03208	
7,81599	4199,436	
7,82537	4199,96232	
7,83468	4200,40296	
7,84455	4200,68448	
7,8533	4201,01496	
7,86261	4201,36992	
7,87192	4201,578	
7,8813	4201,7004	
7,89061	4201,85952	
7,89999	4202,22672	
7,9093	4202,54496	
7,91868	4202,94888	
7,92792	4203,5976	
7,9373	4204,28304	
